timestep,reward
91,0.002
9392,0.005
18636,0.006
27852,0.005
37162,0.006
46334,0.003
55573,0.004
64818,0.011
74055,0.0
83315,0.006
92575,0.014
101907,0.006
111144,0.013
120354,0.006
129523,0.002
138805,0.01
148101,0.018
157348,0.008
166577,0.009
175841,0.022
185161,0.005
194380,0.01
203561,0.004
212761,0.007
222013,-0.001
231225,0.01
240477,0.03
249721,0.002
258972,0.017
268274,0.012
277554,0.024
286799,-0.001
296057,0.037
305324,-0.001
314536,0.007
323776,0.02
332987,0.026
342270,0.001
351502,0.003
360757,0.021
369976,0.001
379303,0.011
388512,-0.003
397767,0.0
407010,0.022
416269,0.007
425538,0.037
434692,0.026
443912,-0.002
453148,0.047
462407,0.023
471593,0.0
480814,0.019
489998,0.001
499252,0.026
508547,0.028
517778,-0.001
527013,-0.001
536268,-0.001
545529,0.027
554726,0.0
563947,0.026
573182,0.032
582416,0.024
591659,0.027
600858,0.0
610104,0.02
619353,0.021
628636,0.0
637802,-0.002
647048,0.029
656243,0.0
665458,0.044
674670,0.006
683950,-0.003
693212,-0.002
702448,0.039
711690,0.0
720903,0.022
730152,0.038
739462,0.001
748801,0.0
758038,0.044
767269,-0.001
776493,-0.002
785719,0.019
794912,0.039
804207,-0.004
813472,-0.004
822686,-0.003
832009,-0.001
841332,0.025
850580,-0.002
859860,0.048
869123,0.029
878334,-0.001
887527,0.04
896814,0.038
906021,0.021
915321,-0.002
924549,0.06
933798,-0.003
943027,-0.001
952311,0.035
961439,0.0
970585,-0.001
979846,0.037
989095,-0.002
998348,0.034
1007606,0.02
1016813,0.022
1026019,0.031
1035294,0.0
1044518,0.045
1053769,-0.001
1063013,0.048
1072238,-0.001
1081492,0.043
1090659,0.048
1099929,0.046
1109183,-0.001
1118414,0.023
1127654,0.038
1136929,0.025
1146223,-0.002
1155469,0.036
1164693,0.034
1173915,-0.001
1183174,-0.001
1192464,0.038
1201661,0.038
1210913,0.038
1220202,0.002
1229416,-0.002
1238653,-0.001
